Source_ID,File_Name,Topic,Population,Care_Setting
SRC-001,Maternal_health_001.txt,Maternal_health,pregnant,"primary_care, hospital, community"
SRC-002,Maternal_health_002.txt,Maternal_health,pregnant,"hospital, primary_care"
SRC-003,Maternal_health_004.txt,Maternal_health,pregnant,"primary_care, hospital, community"
SRC-004,Maternal_health_005.txt,Maternal_health,pregnant,"hospital, primary_care"
SRC-005,Maternal_health_006.txt,Maternal_health,pregnant,"primary_care, hospital"
SRC-006,Maternal_health_009.txt,Maternal_health,pregnant,"primary_care, hospital, community"
SRC-007,Maternal_health_010.txt,Maternal_health,adult,"hospital, primary_care, community"
SRC-008,Maternal_health_011.txt,Maternal_health,adult,"primary_care, hospital"
SRC-009,Maternal_health_012.txt,Maternal_health,pregnant,"hospital, primary_care"
SRC-010,Maternal_health_013.txt,Maternal_health,pregnant,"hospital, primary_care"
SRC-011,Maternal_health_014.txt,Maternal_health,pregnant,"hospital, primary_care"
SRC-012,Maternal_health_015.txt,Maternal_health,pregnant,"hospital, primary_care"
SRC-013,Maternal_health_016.txt,Maternal_health,pregnant,"hospital, primary_care"
SRC-014,Maternal_health_017.txt,Maternal_health,"adult, pregnant","primary_care, community"
SRC-015,Maternal_health_018.txt,Maternal_health,pregnant,hospital
SRC-016,Child_infant_health_001.txt,Child_infant_health,infant,"hospital, primary_care, community"
SRC-017,Child_infant_health_002.txt,Child_infant_health,child,community
SRC-018,Child_infant_health_003.txt,Child_infant_health,"child, infant","hospital, primary_care, community"
SRC-019,Child_infant_health_004.txt,Child_infant_health,"child, infant","hospital, primary_care, community"
SRC-020,Child_infant_health_005.txt,Child_infant_health,"child, infant","community, home"
SRC-021,Child_infant_health_006.txt,Child_infant_health,"child, infant","home, community"
SRC-022,Child_infant_health_007.txt,Child_infant_health,"child, infant","hospital, primary_care, community"
SRC-023,Emergency_triage_001.txt,Emergency_triage,general,hospital
SRC-025,Emergency_triage_003.txt,Emergency_triage,general,hospital
SRC-026,Emergency_triage_004.txt,Emergency_triage,general,"primary_care, community"
SRC-027,Emergency_triage_005.txt,Emergency_triage,"adult, child",hospital
SRC-028,Emergency_triage_006.txt,Emergency_triage,general,primary_care
SRC-029,Emergency_triage_007.txt,Emergency_triage,general,"hospital, primary_care"
SRC-030,Emergency_triage_008.txt,Emergency_triage,"general, child","hospital, primary_care"
SRC-031,Emergency_triage_009.txt,Emergency_triage,general,"hospital, primary_care"
SRC-032,Emergency_triage_010.txt,Emergency_triage,general,"community, hospital"
SRC-033,Emergency_triage_011.txt,Emergency_triage,adult,"hospital, primary_care"
SRC-034,Medication_safety_001.txt,Medication_safety,child,"home, community, hospital"
SRC-035,Medication_safety_015.txt,Medication_safety,general,"hospital, primary_care, community"
SRC-037,Medication_safety_007.txt,Medication_safety,general,"hospital, primary_care"
SRC-038,Medication_safety_017.txt,Medication_safety,general,"hospital, primary_care, home"
SRC-039,Medication_safety_011.txt,Medication_safety,general,community
SRC-040,Medication_safety_012.txt,Medication_safety,general,"home, community"
SRC-041,Medication_safety_013.txt,Medication_safety,general,"hospital, primary_care"
SRC-042,Medication_safety_014.txt,Medication_safety,general,primary_care
SRC-043,Medication_safety_008.txt,Medication_safety,general,"hospital, primary_care"
SRC-044,Medication_safety_003.txt,Medication_safety,general,"home, community"
SRC-045,Infectious_diseases_002.txt,Infectious_diseases,general,"hospital, primary_care"
SRC-046,Infectious_diseases_003.txt,Infectious_diseases,general,"hospital, primary_care"
SRC-047,Infectious_diseases_005.txt,Infectious_diseases,"general, adult, child","hospital, primary_care, community"
SRC-048,Infectious_diseases_007.txt,Infectious_diseases,"general, child","hospital, primary_care"
SRC-049,Infectious_diseases_008.txt,Infectious_diseases,"adult, child","hospital, primary_care"
SRC-050,Chronic_disease_001.txt,Chronic_disease,"adult, child","primary_care, hospital, community"
SRC-051,Chronic_disease_004.txt,Chronic_disease,"adult, child","primary_care, hospital"
SRC-052,Chronic_disease_014.txt,Chronic_disease,adult,"primary_care, hospital"
SRC-053,Chronic_disease_002.txt,Chronic_disease,adult,"primary_care, hospital"
SRC-054,Chronic_disease_005.txt,Chronic_disease,adult,"primary_care, hospital"
SRC-055,Chronic_disease_003.txt,Chronic_disease,adult,"primary_care, hospital"
SRC-056,Chronic_disease_010.txt,Chronic_disease,adult,"primary_care, hospital"
SRC-057,Chronic_disease_011.txt,Chronic_disease,"adult, child, pregnant","primary_care, hospital"
SRC-058,Chronic_disease_007.txt,Chronic_disease,"adult, child, pregnant","primary_care, hospital"
SRC-059,Chronic_disease_008.txt,Chronic_disease,"adult, child, pregnant","primary_care, hospital"
SRC-060,Chronic_disease_009.txt,Chronic_disease,adult,"primary_care, hospital"
SRC-061,Chronic_disease_006.txt,Chronic_disease,"adult, child","primary_care, hospital"
SRC-062,Chronic_disease_012.txt,Chronic_disease,adult,"primary_care, hospital"
SRC-063,Chronic_disease_013.txt,Chronic_disease,adult,"primary_care, hospital"
SRC-064,Nutrition_002.txt,Nutrition,"adult, infant","primary_care, community"
SRC-065,Nutrition_003.txt,Nutrition,"adult, infant","hospital, community"
SRC-066,Nutrition_004.txt,Nutrition,infant,"hospital, primary_care, community"
SRC-067,Nutrition_005.txt,Nutrition,"child, infant","hospital, primary_care, community"
SRC-069,Nutrition_007.txt,Nutrition,"child, infant","hospital, primary_care"
SRC-070,Nutrition_008.txt,Nutrition,"adult, pregnant","primary_care, community"
SRC-071,Nutrition_009.txt,Nutrition,adult,"hospital, primary_care"
SRC-072,Nutrition_011.txt,Nutrition,"adult, infant","hospital, primary_care"
SRC-073,Nutrition_012.txt,Nutrition,infant,hospital
SRC-074,Nutrition_013.txt,Nutrition,"adult, pregnant","primary_care, community"
SRC-075,Nutrition_014.txt,Nutrition,child,"primary_care, community"
SRC-076,Nutrition_015.txt,Nutrition,infant,"primary_care, community"
SRC-077,Nutrition_016.txt,Nutrition,child,"primary_care, community"
SRC-078,Vaccination_002.txt,Vaccination,general,"hospital, primary_care, community"
SRC-080,Vaccination_004.txt,Vaccination,"adult, child","hospital, primary_care"
SRC-082,Vaccination_006.txt,Vaccination,general,"hospital, primary_care, community"
SRC-085,Vaccination_009.txt,Vaccination,"adult, child","hospital, primary_care"
SRC-086,Vaccination_010.txt,Vaccination,general,"hospital, primary_care"
SRC-088,Vaccination_011.txt,Vaccination,adult,"hospital, primary_care, community"
SRC-091,Mental_health_basics_005.txt,Mental_health_basics,"general, adult","hospital, primary_care, community"
SRC-092,Mental_health_basics_006.txt,Mental_health_basics,general,hospital
SRC-093,Mental_health_basics_007.txt,Mental_health_basics,general,"hospital, primary_care, community"
SRC-094,Mental_health_basics_008.txt,Mental_health_basics,"adult, pregnant","hospital, primary_care, community"
SRC-095,Maternal_health_019.txt,Maternal_health,"adult, infant","hospital, primary_care, community"
SRC-096,Maternal_health_008.txt,Maternal_health,"adult, infant","primary_care, community"
SRC-097,Maternal_health_007.txt,Maternal_health,"adult, infant","hospital, primary_care, community"
SRC-098,Maternal_health_003.txt,Maternal_health,"adult, child","primary_care, community"
SRC-099,Mental_health_basics_002.txt,Mental_health_basics,"adult, child","primary_care, community"
SRC-100,Mental_health_basics_003.txt,Mental_health_basics,child,"primary_care, community"
SRC-101,Mental_health_basics_009.txt,Mental_health_basics,general,"hospital, primary_care, community"
SRC-102,Infectious_diseases_006.txt,Infectious_diseases,general,"hospital, primary_care, community"
SRC-103,Infectious_diseases_010.txt,Infectious_diseases,general,community
