Source_ID,File_Name,Topic,Population,Care_Setting
SRC-007,Chronic_disease_001.txt,Chronic_disease,general,"primary_care, community, school"
SRC-008,Chronic_disease_002.txt,Chronic_disease,"adult, child, general","home, school, primary_care, hospital"
SRC-009,Chronic_disease_003.txt,Chronic_disease,"adult, general","primary_care, community, home"
SRC-010,Chronic_disease_004.txt,Chronic_disease,"adult, general","home, primary_care, community"
SRC-011,Chronic_disease_005.txt,Chronic_disease,"adult, general","primary_care, community, home"
SRC-012,Chronic_disease_006.txt,Chronic_disease,"adult, child, pregnant, general","primary_care, community, home, school"
SRC-037,Emergency_triage_001.txt,Emergency_triage,"infant, child","home, primary_care, hospital"
SRC-038,Emergency_triage_002.txt,Emergency_triage,"adult, child, infant, general","home, primary_care, hospital, school"
SRC-039,Emergency_triage_003.txt,Emergency_triage,"adult, child, infant, general","home, school, community, hospital"
SRC-040,Emergency_triage_004.txt,Emergency_triage,"adult, child, infant, pregnant, general","home, community, primary_care, hospital"
SRC-041,Emergency_triage_005.txt,Emergency_triage,"adult, child, infant, general","home, school, community, hospital"
SRC-042,Emergency_triage_006.txt,Emergency_triage,"adult, child, infant, pregnant, general","home, community, primary_care, hospital"
SRC-013,Infectious_disease_001.txt,Infectious_disease,"general, child, adult","community, home, primary_care, school"
SRC-014,Infectious_disease_002.txt,Infectious_disease,"general, pregnant, child, adult","community, home, primary_care"
SRC-015,Infectious_disease_003.txt,Infectious_disease,"general, child, adult, pregnant","home, primary_care, hospital"
SRC-016,Infectious_disease_004.txt,Infectious_disease,"adult, child, infant, pregnant, general","community, primary_care, home, school"
SRC-017,Infectious_disease_005.txt,Infectious_disease,"adult, child, infant, pregnant, general","community, home, primary_care, hospital"
SRC-018,Infectious_disease_006.txt,Infectious_disease,"adult, pregnant, general","community, primary_care, hospital"
SRC-001,Maternal_health_001.txt,Maternal_health,pregnant,"primary_care, hospital, community"
SRC-002,Maternal_health_002.txt,Maternal_health,pregnant,"home, community, primary_care"
SRC-003,Maternal_health_003.txt,Maternal_health,pregnant,"home, primary_care, hospital"
SRC-004,Maternal_health_004.txt,Maternal_health,pregnant,"home, community, primary_care, hospital"
SRC-005,Maternal_health_005.txt,Maternal_health,pregnant,"primary_care, hospital"
SRC-006,Maternal_health_006.txt,Maternal_health,"pregnant, adult","home, community, primary_care, hospital"
SRC-019,Medication_safety_001.txt,Medication_safety,"adult, child, pregnant, general","home, primary_care, community"
SRC-020,Medication_safety_002.txt,Medication_safety,"adult, child, general","home, primary_care, community, hospital"
SRC-021,Medication_safety_003.txt,Medication_safety,pregnant,"primary_care, home, community, hospital"
SRC-022,Medication_safety_004.txt,Medication_safety,"child, infant","home, school, primary_care, community"
SRC-023,Medication_safety_005.txt,Medication_safety,"adult, child, pregnant, general","home, primary_care, community, hospital"
SRC-024,Medication_safety_006.txt,Medication_safety,"adult, child, infant, general","home, community, hospital, primary_care"
SRC-043,Mental_health_basics_001.txt,Mental_health_basics,"adult, child, general","community, school, primary_care"
SRC-044,Mental_health_basics_002.txt,Mental_health_basics,"adult, child, general","home, school, primary_care, community"
SRC-045,Mental_health_basics_003.txt,Mental_health_basics,"adult, general","home, community, primary_care"
SRC-046,Mental_health_basics_004.txt,Mental_health_basics,"child, general","school, home, community, primary_care"
SRC-047,Mental_health_basics_005.txt,Mental_health_basics,"adult, child, general","home, school, community, primary_care"
SRC-048,Mental_health_basics_006.txt,Mental_health_basics,"adult, child, general","home, community, hospital, primary_care"
SRC-025,Nutrition_001.txt,Nutrition,"general, adult, child, pregnant","community, primary_care, home"
SRC-026,Nutrition_002.txt,Nutrition,"infant, child, pregnant","home, community, primary_care, hospital"
SRC-027,Nutrition_003.txt,Nutrition,child,"home, school, community, primary_care"
SRC-028,Nutrition_004.txt,Nutrition,pregnant,"primary_care, community, home"
SRC-029,Nutrition_005.txt,Nutrition,"general, child, adult, infant","home, community, primary_care, hospital"
SRC-030,Nutrition_006.txt,Nutrition,"general, adult, child, infant, pregnant","home, community, primary_care"
SRC-031,Vaccination_001.txt,Vaccination,"child, infant, adult, general","school, community, primary_care"
SRC-032,Vaccination_002.txt,Vaccination,infant,"primary_care, community, hospital, home"
SRC-033,Vaccination_003.txt,Vaccination,pregnant,"primary_care, community, hospital"
SRC-034,Vaccination_004.txt,Vaccination,"adult, child, infant, pregnant, general","primary_care, community, home, school"
SRC-035,Vaccination_005.txt,Vaccination,"child, infant, adult, pregnant, general","primary_care, community, school, home"
SRC-036,Vaccination_006.txt,Vaccination,"adult, child, infant, pregnant, general","community, primary_care, school, home"
